,timestamp,sho_count
576056,2019-10-11,0
576055,2019-10-14,0
576054,2019-10-15,0
576053,2019-10-16,0
576052,2019-10-17,0
576051,2019-10-18,0
576050,2019-10-21,0
576049,2019-10-22,0
576048,2019-10-23,0
576047,2019-10-24,0
576046,2019-10-25,0
576045,2019-10-28,0
576044,2019-10-29,0
576043,2019-10-30,0
576042,2019-10-31,0
576041,2019-11-01,0
576040,2019-11-04,0
576039,2019-11-05,0
576038,2019-11-06,0
576037,2019-11-07,0
576036,2019-11-08,0
576035,2019-11-11,0
576034,2019-11-12,0
576033,2019-11-13,0
576032,2019-11-14,0
576031,2019-11-15,0
576030,2019-11-18,0
576029,2019-11-19,0
576028,2019-11-20,0
576027,2019-11-21,0
576026,2019-11-22,0
576025,2019-11-25,0
576024,2019-11-26,0
576023,2019-11-27,0
576022,2019-11-29,0
576021,2019-12-02,0
576020,2019-12-03,0
576019,2019-12-04,0
576018,2019-12-05,0
576017,2019-12-06,0
576016,2019-12-09,0
576015,2019-12-10,0
576014,2019-12-11,0
576013,2019-12-12,0
576012,2019-12-13,0
576011,2019-12-16,0
576010,2019-12-17,0
576009,2019-12-18,0
576008,2019-12-19,0
576007,2019-12-20,0
576006,2019-12-23,0
576005,2019-12-24,0
576004,2019-12-26,0
576003,2019-12-27,0
576002,2019-12-30,0
576001,2019-12-31,0
576000,2020-01-02,0
575999,2020-01-03,0
575998,2020-01-06,0
575997,2020-01-07,0
575996,2020-01-08,0
575995,2020-01-09,0
575994,2020-01-10,0
575993,2020-01-13,0
575992,2020-01-14,0
575991,2020-01-15,0
575990,2020-01-16,0
575989,2020-01-17,0
575988,2020-01-21,0
575987,2020-01-22,0
575986,2020-01-23,0
575985,2020-01-24,0
575984,2020-01-27,0
575983,2020-01-28,0
575982,2020-01-29,0
575981,2020-01-30,0
575980,2020-01-31,0
575979,2020-02-03,0
575978,2020-02-04,0
575977,2020-02-05,0
575976,2020-02-06,0
575975,2020-02-07,0
575974,2020-02-10,0
575973,2020-02-11,0
575972,2020-02-12,0
575971,2020-02-13,0
575970,2020-02-14,0
